JURSCODE,COUNTY,STATE,BG2010,ACRES,PAR_ACRES,ZONEAVAIL_ACRES,PCT_ZONEAVAIL_ACRES,RES_ACRES,COMM_ACRES,AG_ACRES,SUM_MAXHU,MAXHU_ACRE,HU2019,HUACRE_2019,HU_GAP
ANNE,Anne Arundel County,PA,240037027021,1761.71209,1433.453,795.751,0.555128769,930.007,16.023,416.643,6323.030769,4.411048544,721,0.502981263,3.908067281
ANNE,Anne Arundel County,PA,240037027022,1527.68156,1406.641,916.489,0.651544353,1156.441,115.423,0,9466.929539,6.730167498,964,0.685320562,6.044846936
ANNE,Anne Arundel County,PA,240037061011,124.45205,96.681,22.09,0.228483363,64.796,29.825,0,2531.620083,26.18529063,722,7.467858214,18.71743242
ANNE,Anne Arundel County,PA,240037061012,118.38591,93.648,64.212,0.685674013,24.617,65.382,0,2339.044778,24.97698592,901,9.621134461,15.35585146
ANNE,Anne Arundel County,PA,240037061013,67.43609,58.644,44.79,0.763760999,13.142,44.933,0,832.9875723,14.20413976,297,5.064456722,9.139683041
ANNE,Anne Arundel County,PA,240037063011,151.02951,117.5796667,41.501,0.352960688,86.05166667,31.334,0,845.680781,7.192406689,930,7.909530843,-0.717124154
ANNE,Anne Arundel County,PA,240037063012,233.93263,193.452,21.246,0.109825693,106.82,84.805,0,1979.782359,10.23397204,1044,5.39668755,4.837284491
ANNE,Anne Arundel County,PA,240037063013,146.14736,135.268,75.078,0.555031493,110.371,24.483,0,936.7800864,6.925363622,688,5.086199249,1.839164373
ANNE,Anne Arundel County,PA,240037063021,144.57989,124.51,35.856,0.287976869,102.25,21.941,0,1074.666485,8.631166053,875,7.027547988,1.603618065
ANNE,Anne Arundel County,PA,240037063022,86.31249,66.893,7.053,0.105437041,54.832,11.161,0,171.8596215,2.569171984,468,6.996247739,-4.427075755
ANNE,Anne Arundel County,PA,240037063023,122.68099,98.42966667,5.344,0.054292574,61.09666667,37.042,0,302.110559,3.069303892,643,6.532583334,-3.463279441
ANNE,Anne Arundel County,PA,240037064011,175.43216,136.7803333,31.20533333,0.22814196,118.7733333,17.471,0,1186.896045,8.67738816,924,6.75535713,1.92203103
ANNE,Anne Arundel County,PA,240037064012,205.58334,167.647,30.366,0.18113059,136.422,24.524,0,2182.173924,13.0164806,884,5.272984306,7.743496297
ANNE,Anne Arundel County,PA,240037064013,166.86892,115.95,6.882,0.059353169,71.912,42.889,0,613.5449939,5.291461784,541,4.665804226,0.625657558
ANNE,Anne Arundel County,PA,240037064021,100.78955,86.088,10.463,0.121538426,66.905,19.121,0,314.7252381,3.655854917,725,8.421615092,-4.765760174
ANNE,Anne Arundel County,PA,240037064022,173.98006,136.071,16.246,0.119393552,78.649,47.25,0,896.9187892,6.59154992,992,7.290311676,-0.698761756
ANNE,Anne Arundel County,PA,240037065001,167.66846,139.605,28.665,0.205329322,60.956,76.177,0,1738.541756,12.45329147,629,4.505569285,7.947722186
ANNE,Anne Arundel County,PA,240037065002,173.46389,143.231,12.026,0.083962271,68.461,70.846,0,953.523878,6.657245136,283,1.975829255,4.681415881
ANNE,Anne Arundel County,PA,240037065003,184.73201,157.343,83.494,0.5306496,93.54,53.962,0,1112.368275,7.069702973,777,4.938255912,2.13144706
ANNE,Anne Arundel County,PA,240037065004,182.73137,150.846,65.656,0.435251846,84.607,65.518,0,648.5980988,4.29973681,899,5.95972051,-1.6599837
ANNE,Anne Arundel County,PA,240037066001,178.36015,145.764,8.246,0.056570895,130.234,11.928,0,1290.741281,8.855007276,371,2.545210066,6.309797211
ANNE,Anne Arundel County,PA,240037066002,378.39325,316.358,93.255,0.294776803,222.386,88.386,0,1705.439926,5.390854431,872,2.756370947,2.634483485
ANNE,Anne Arundel County,PA,240037066003,83.63503,62.78,34.837,0.554906021,37.504,25.276,0,434.7312353,6.924677211,342,5.447594775,1.477082436
ANNE,Anne Arundel County,PA,240037066004,180.03342,157.112,63.09,0.40156067,78.895,60.572,0,575.3779122,3.662214931,382,2.431386527,1.230828404
ANNE,Anne Arundel County,PA,240037066005,164.88657,132.713,22.392,0.168724993,13.993,113.043,0,1070.99391,8.07,207,1.559756768,6.510243232
ANNE,Anne Arundel County,PA,240037067001,351.98999,206.687,8.952,0.043311868,3.26,203.427,0,8862.926499,42.88090929,206,0.996676133,41.88423316
ANNE,Anne Arundel County,PA,240037070011,4033.6331,3881.339,1627.938,0.419426904,1284,102.937,1910.523,5668.749731,1.460513944,699,0.180092489,1.280421455
ANNE,Anne Arundel County,PA,240037070012,1164.04086,1011.417,705.808,0.697840752,741.574,61.537,67.72,2248.660569,2.223277411,1074,1.061876555,1.161400856
ANNE,Anne Arundel County,PA,240037070013,1698.63491,1557.321,579.587,0.372169257,842.649,28.617,23.25,3196.234827,2.05239307,774,0.497007361,1.555385709
ANNE,Anne Arundel County,PA,240037070021,721.54556,645.023,380.645,0.590126244,417.597,100.916,82.372,5018.680618,7.780622735,620,0.961206035,6.819416701
ANNE,Anne Arundel County,PA,240037070022,1422.06425,1303.291,911.338,0.69925903,703.206,106.566,334.634,7722.178481,5.925137579,464,0.356021794,5.569115785
ANNE,Anne Arundel County,PA,240037070023,577.17853,452.6746667,309.487,0.683685266,385.8546667,3.639,0,1771.774189,3.914012246,959,2.11851926,1.795492986
